"","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"1","G01000100201001","010010201001","71","4"
"2","G01000100201002","010010201002","79","5"
"3","G01000100202001","010010202001","87","7"
"4","G01000100202002","010010202002","84","6"
"5","G01000100203001","010010203001","76","5"
"6","G01000100203002","010010203002","87","7"
"7","G01000100204001","010010204001","60","3"
"8","G01000100204002","010010204002","66","4"
"9","G01000100204003","010010204003","79","5"
"10","G01000100204004","010010204004","78","5"
"11","G01000100205011","010010205011","65","4"
"12","G01000100205012","010010205012","66","4"
"13","G01000100205021","010010205021","66","4"
"14","G01000100205022","010010205022","55","2"
"15","G01000100205031","010010205031","54","2"
"16","G01000100205032","010010205032","54","2"
"17","G01000100205033","010010205033","45","2"
"18","G01000100206001","010010206001","100","10"
"19","G01000100206002","010010206002","82","6"
"20","G01000100206003","010010206003","43","2"
"21","G01000100207001","010010207001","90","8"
"22","G01000100207002","010010207002","96","9"
"23","G01000100207003","010010207003","90","8"
"24","G01000100208011","010010208011","50","2"
"25","G01000100208012","010010208012","25","1"
"26","G01000100208013","010010208013","43","2"
"27","G01000100208031","010010208031","68","4"
"28","G01000100208032","010010208032","87","7"
"29","G01000100208033","010010208033","72","4"
"30","G01000100208034","010010208034","90","8"
"31","G01000100208041","010010208041","49","2"
"32","G01000100208042","010010208042","35","1"
"33","G01000100208051","010010208051","58","3"
"34","G01000100208052","010010208052","58","3"
"35","G01000100209011","010010209011","63","3"
"36","G01000100209012","010010209012","53","2"
"37","G01000100209021","010010209021","73","5"
"38","G01000100209022","010010209022","69","4"
"39","G01000100210001","010010210001","84","6"
"40","G01000100210002","010010210002","84","6"
"41","G01000100210003","010010210003","84","6"
"42","G01000100211001","010010211001","94","9"
"43","G01000100211002","010010211002","95","9"
"44","G01000100211003","010010211003","93","8"
"45","G01000100211004","010010211004","90","8"
"46","G01000300101001","010030101001","81","6"
"47","G01000300101002","010030101002","76","5"
"48","G01000300101003","010030101003","80","6"
"49","G01000300102001","010030102001","74","5"
"50","G01000300102002","010030102002","64","3"
"51","G01000300103001","010030103001","66","4"
"52","G01000300103002","010030103002","63","3"
"53","G01000300103003","010030103003","68","4"
"54","G01000300103004","010030103004","68","4"
"55","G01000300103005","010030103005","76","5"
"56","G01000300104001","010030104001","37","1"
"57","G01000300104002","010030104002","78","5"
"58","G01000300104003","010030104003","78","5"
"59","G01000300105001","010030105001","80","6"
"60","G01000300105002","010030105002","73","5"
"61","G01000300105003","010030105003","57","3"
"62","G01000300105004","010030105004","87","7"
"63","G01000300106001","010030106001","97","9"
"64","G01000300106002","010030106002","97","9"
"65","G01000300106003","010030106003","97","9"
"66","G01000300107041","010030107041","55","2"
"67","G01000300107042","010030107042","55","2"
"68","G01000300107061","010030107061","44","2"
"69","G01000300107062","010030107062","26","1"
"70","G01000300107071","010030107071","44","2"
"71","G01000300107072","010030107072","45","2"
"72","G01000300107073","010030107073","39","1"
"73","G01000300107081","010030107081","45","2"
"74","G01000300107082","010030107082","36","1"
