"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G17000100001001","170010001001","65","6"
"G17000100001002","170010001002","74","7"
"G17000100001003","170010001003","92","10"
"G17000100001004","170010001004","82","8"
"G17000100001005","170010001005","75","7"
"G17000100002011","170010002011","81","8"
"G17000100002012","170010002012","85","9"
"G17000100002021","170010002021","79","8"
"G17000100002022","170010002022","85","9"
"G17000100002023","170010002023","83","8"
"G17000100004001","170010004001","78","8"
"G17000100004002","170010004002","95","10"
"G17000100004003","170010004003","99","10"
"G17000100004004","170010004004","GQ","GQ"
"G17000100005001","170010005001","93","10"
"G17000100005002","170010005002","94","10"
"G17000100006001","170010006001","72","7"
"G17000100006002","170010006002","73","7"
"G17000100006003","170010006003","74","7"
"G17000100006004","170010006004","61","6"
"G17000100006005","170010006005","54","5"
"G17000100007001","170010007001","95","10"
"G17000100007002","170010007002","97","10"
"G17000100008001","170010008001","98","10"
"G17000100008002","170010008002","100","10"
"G17000100008003","170010008003","99","10"
"G17000100009001","170010009001","91","9"
"G17000100009002","170010009002","84","9"
"G17000100010011","170010010011","82","8"
"G17000100010012","170010010012","89","9"
"G17000100010013","170010010013","80","8"
"G17000100010021","170010010021","82","8"
"G17000100010022","170010010022","67","7"
"G17000100011001","170010011001","67","7"
"G17000100011002","170010011002","60","6"
"G17000100011003","170010011003","48","4"
"G17000100011004","170010011004","41","4"
"G17000100101001","170010101001","83","8"
"G17000100101002","170010101002","79","8"
"G17000100101003","170010101003","70","7"
"G17000100101004","170010101004","66","6"
"G17000100102001","170010102001","80","8"
"G17000100102002","170010102002","74","7"
"G17000100102003","170010102003","80","8"
"G17000100102004","170010102004","89","9"
"G17000100103011","170010103011","54","5"
"G17000100103012","170010103012","52","5"
"G17000100103013","170010103013","58","6"
"G17000100103021","170010103021","71","7"
"G17000100103022","170010103022","78","8"
"G17000100103023","170010103023","81","8"
"G17000100104001","170010104001","59","6"
"G17000100104002","170010104002","59","6"
"G17000100104003","170010104003","59","6"
"G17000100105001","170010105001","50","5"
"G17000100105002","170010105002","40","4"
"G17000100106001","170010106001","42","4"
"G17000100106002","170010106002","38","3"
"G17000100106003","170010106003","67","7"
"G17000100106004","170010106004","59","6"
"G17000309576001","170039576001","93","10"
"G17000309576002","170039576002","83","8"
"G17000309576003","170039576003","96","10"
"G17000309577001","170039577001","86","9"
"G17000309577002","170039577002","93","10"
"G17000309578001","170039578001","99","10"
"G17000309578002","170039578002","98","10"
"G17000309579001","170039579001","100","10"
"G17000309579002","170039579002","100","10"
"G17000509512001","170059512001","56","5"
"G17000509512002","170059512002","50","5"
"G17000509512003","170059512003","93","10"
"G17000509513001","170059513001","83","8"
"G17000509513002","170059513002","80","8"
"G17000509513003","170059513003","GQ","GQ"
"G17000509513004","170059513004","88","9"
"G17000509513005","170059513005","GQ","GQ"
"G17000509514001","170059514001","96","10"
"G17000509514002","170059514002","65","6"
"G17000509514003","170059514003","63","6"
"G17000509515001","170059515001","88","9"
"G17000509515002","170059515002","61","6"
"G17000509515003","170059515003","55","5"
"G17000509515004","170059515004","88","9"
"G17000700101011","170070101011","60","6"
"G17000700101012","170070101012","69","7"
"G17000700101021","170070101021","79","8"
"G17000700101022","170070101022","70","7"
"G17000700101023","170070101023","91","9"
"G17000700102001","170070102001","77","8"
"G17000700102002","170070102002","92","10"
"G17000700102003","170070102003","79","8"
"G17000700103001","170070103001","78","8"
"G17000700103002","170070103002","87","9"
"G17000700103003","170070103003","83","8"
"G17000700103004","170070103004","91","9"
"G17000700104001","170070104001","68","7"
"G17000700104002","170070104002","51","5"
"G17000700104003","170070104003","62","6"
"G17000700104004","170070104004","54","5"
"G17000700105011","170070105011","22","2"
"G17000700105012","170070105012","22","2"
"G17000700105021","170070105021","62","6"
"G17000700105022","170070105022","49","4"
"G17000700105023","170070105023","37","3"
"G17000700106011","170070106011","33","3"
"G17000700106012","170070106012","45","4"
"G17000700106013","170070106013","68","7"
"G17000700106031","170070106031","43","4"
"G17000700106032","170070106032","27","2"
"G17000700106033","170070106033","42","4"
"G17000700106034","170070106034","34","3"
"G17000700106041","170070106041","64","6"
"G17000700106042","170070106042","64","6"
"G17000700106043","170070106043","64","6"
"G17000909704001","170099704001","77","8"
"G17000909704002","170099704002","79","8"
"G17000909704003","170099704003","82","8"
"G17000909705001","170099705001","77","8"
"G17000909705002","170099705002","GQ","GQ"
"G17000909705003","170099705003","87","9"
"G17001109647001","170119647001","60","6"
"G17001109647002","170119647002","73","7"
"G17001109647003","170119647003","86","9"
"G17001109647004","170119647004","88","9"
"G17001109648001","170119648001","87","9"
"G17001109648002","170119648002","84","9"
"G17001109648003","170119648003","57","5"
"G17001109648004","170119648004","82","8"
"G17001109649001","170119649001","83","8"
"G17001109649002","170119649002","86","9"
"G17001109649003","170119649003","86","9"
"G17001109650001","170119650001","63","6"
"G17001109650002","170119650002","83","8"
"G17001109650003","170119650003","92","10"
"G17001109650004","170119650004","87","9"
"G17001109650005","170119650005","89","9"
"G17001109651001","170119651001","69","7"
"G17001109651002","170119651002","86","9"
"G17001109651003","170119651003","84","9"
"G17001109652001","170119652001","78","8"
"G17001109652002","170119652002","93","10"
"G17001109652003","170119652003","72","7"
"G17001109652004","170119652004","69","7"
