"tract","Name","Household_Income_at_Age_35_rP_gP_pall"
36059301700,"Manhasset, NY",93163
36059518204,"Woodbury, NY",92281
36059406400,"Garden City, NY",92080
51760050600,"Near West End, Richmond, VA",91326
36059302101,"Roslyn, NY",91257
24005403802,"Pikesville, MD",90719
48201430300,"Hunter Creek Village, Houston, TX",90524
36059412600,"Rockville Centre, NY",89100
36059411500,"Hewlett, NY",88978
36119008401,"Harrison, NY",88708
36047004400,"Kings County, NY",88606
9001060600,"Southport, Fairfield, CT",87870
36059415202,"Merrick, NY",87749
36059302501,"Roslyn Heights, NY",87221
27053023903,"Edina, MN",86788
36059406501,"Garden City, NY",86724
36059519702,"Plainview, NY",86557
34039037900,"Summit, NJ",86499
36059415102,"Merrick, NY",86484
36059517705,"Glen Head, NY",86375
34025809703,"Marlboro Township, NJ",86311
6081611400,"West Atherton, Atherton, CA",85935
36059519602,"Plainview, NY",85828
36059518600,"Jericho, NY",85735
24005403803,"Pikesville, MD",85716
17097864601,"Lake Forest, IL",85114
6037262301,"Los Angeles, CA",85044
36119009800,"Scarsdale, NY",85013
8005005636,"Greenwood Village, CO",84820
24031705300,"Chevy Chase, MD",84705
36059412700,"Rockville Centre, NY",84679
48201430600,"The Villages, Houston, TX",84452
9001035200,"New Canaan, CT",84388
6001443103,"Fremont, CA",84354
34003047300,"Ridgewood, NJ",84302
48113019700,"Park Cities, Dallas, TX",84288
25021404201,"Wellesley, MA",84272
48201430400,"Memorial, Houston, TX",84214
34021004304,"West Windsor Township, NJ",83854
48113019301,"Park Cities, Dallas, TX",83824
9003460203,"Farmington, CT",83820
9001060500,"Southport, Fairfield, CT",83715
48113019501,"Park Cities, Dallas, TX",83675
36087010802,"New City, NY",83612
36059300900,"Manhasset, NY",83497
11001000901,"Northwest Washington, Washington, DC",83482
36119012304,"Armonk, NY",83451
34013020000,"Essex County, NJ",83386
34013020100,"Essex County, NJ",83363
13121009501,"Buckhead, Atlanta, GA",83242
24005408303,"Reisterstown, MD",83225
26125151000,"Bloomfield Village, Bloomfield Hills, MI",83217
36059301500,"Plandome, NY",83149
48201412400,"Southwest Houston, Houston, TX",83112
51087200108,"Henrico, VA",83110
